20151101
94         VAL DE MARNE                  
LIEU-DIT   FORT DE BICETRE            
AUTOROUTE  DU SUD                     
AUTOROUTE  A 5                        
BOULEVARD  PERIPHERIQUE SUD           
RUE        ALBERT LAURENSON           
IMPASSE    ANATOLE FRANCE             
RUE        ANATOLE FRANCE             
RUE        ANTOINE DE ST EXUPERY      
RUE        DE L AVENIR                
RUE        BABEUF                     
PASSAGE    BELLEVUE                   
RUE        BENOIT MALON               
RUE        BLAISE PASCAL              
AVENUE     DU BOULODROME              
VILLA      CANDIOTTI                  
RUE        CAPITAINE MORINET          
PASSAGE    CARNOT                     
RUE        CARNOT                     
RUE        DES CHALETS                
AVENUE     CHARLES GIDE               
RUE        CHARLES RICHET             
BOULEVARD  CHASTENET DE GERY          
AVENUE     DU CIMETIERE COMMUNAL      
PLACE      DU COMBATTANT              
RUE        DE LA CONVENTION           
IMPASSE    COURTEIX                   
RUE        CURIE                      
RUE        DANTON                     
RUE        DELESCLUZE                 
RUE        DU 19 MARS 1962            
AVENUE     DOC ANTOINE LACROIX        
VILLA      DUMOIGNE                   
SQUARE     EDITH PIAF                 
RUE        EDMOND MICHELET            
PLACE      EDOUARD HERRIOT            
RUE        EDOUARD VAILLANT           
RUE        DE L EGALITE               
RUE        ELISEE RECLUS              
IMPASSE    EMILE ZOLA                 
RUE        EMILE ZOLA                 
IMPASSE    ETIENNE DOLET              
RUE        ETIENNE DOLET              
RUE        EUGENE POTTIER             
AVENUE     EUGENE THOMAS              
AVENUE     DE FONTAINEBLEAU           
RUE        DE LA FRATERNITE           
IMPASSE    FUALDES                    
RUE        DES FUSILLES               
RUE        DES FUSILLES               
RUE        GABRIEL PERI               
RUE        GAMBETTA                   
PASSAGE    GAMBETTA                   
BOULEVARD  DU GEN DE GAULLE           
RUE        DU GENERAL LECLERC         
RUE        GEORGES POMPIDOU           
RUE        DE L HORIZON               
RUE        DU 8 MAI                   
RUE        JEAN BAPTISTE CLEMENT      
PLACE      JEAN BAPTISTE CLEMENT      
PLACE      JEAN JAURES                
RUE        JEAN MONNET                
RUE        JEAN MERMOZ                
RUE        JOHN FITZGERALD KENNEDY    
SQUARE     JULES GUESDE               
RUE        LECH WALESA                
RUE        LEO LAGRANGE               
RUE        LEON BLUM                  
RUE        DE LA LIBERTE              
RUE        MARC SANGNIER              
RUE        MARCEL SEMBAT              
RUE        MARCELLIN BERTHELOT        
IMPASSE    DES MARTINETS              
RUE        DES MARTINETS              
RUE        PASTEUR                    
RUE        PAUL LAFARGUE              
RUE        PHILIPPE PINEL             
RUE        PIERRE BROSSOLETTE         
RUE        PIERRE SEMARD              
PASSAGE    DES PLANTES                
IMPASSE    DU PLATEAU                 
RUE        PROFESSEUR BERGONIE        
RUE        PROFESSEUR EINSTEIN        
RUE        QUATORZE JUILLET           
RUE        RENE CASSIN                
AVENUE     DU REPOS                   
RUE        DE LA REUNION              
RUE        ROBERT SCHUMANN            
RUE        ROGER SALENGRO             
RUE        ROSSEL                     
RUE        SEVERINE                   
CAR        STALINGRAD                 
ROUTE      STRATEGIQUE                
RUE        VERDUN LAZARE PONTICELLI   
PLACE      VICTOR HUGO                
RUE        VOLTAIRE                   
RUE        YITZHAK RABIN              
           commune :     LIMEIL BREVANNES               departement : VAL DE MARNE                  
PARC       DE BLANCHEREINE            
RESIDENCE  DU BOIS DE BREVANNES       
RESIDENCE  DE BREVANNES               
RESIDENCE  DES CHENES                 
RESIDENCE  CLOS BOISSY                
RESIDENCE  LES DEUX CLOCHERS          
CITE       DOUANIERE                  
RESIDENCE  GREGORY                    
RESIDENCE  DU HAUT GAGNY              
RESIDENCE  LIMEIL VILLAGE             
RESIDENCE  LES ALLIGRAIS              
RESIDENCE  L ERMITAGE                 
RESIDENCE  LES SABLES                 
RESIDENCE  LE MANOIR DE LIMEIL        
RESIDENCE  MARIVAUX                   
RESIDENCE  PLEIN AIR                  
RESIDENCE  DU TERTRE                  
           ZAC DES TEMPS DURABLES     
LIEU-DIT   LES ALLIGRAIS              
LIEU-DIT   LE BOIS DE BREVANNES       
LIEU-DIT   LE BOIS DE GRANVILLE       
LIEU-DIT   BREVANNES                  
LIEU-DIT   LES CANDIES                
LIEU-DIT   LES CHEMINS DU MARAIS      
LIEU-DIT   CITE DE SEZE               
LIEU-DIT   LE FIEF DES 50 ARPENTS     
LIEU-DIT   LE FOSSE DE LA DEMOISELLE  
LIEU-DIT   LES FRICHES DE BOISSY      
LIEU-DIT   LE GRAND VIRTEMBERG        
LIEU-DIT   LE HAUT DU PETIT GAGNY     
LIEU-DIT   HOSPICE DE BREVANNES       
LIEU-DIT   LIMEIL                     
LIEU-DIT   LES LONGS RIDEAUX          
LIEU-DIT   LES NEUFS SAULETS          
LIEU-DIT   LE PARC DE BREVANNES       
LIEU-DIT   PARC DE LIMEIL             
LIEU-DIT   LA PENTE                   
LIEU-DIT   LE PETIT VIRTEMBERG        
LIEU-DIT   LE PIVOT                   
LIEU-DIT   LES PLANTS DE BREVANNES    
LIEU-DIT   LES POINTES DE BOISSY      
LIEU-DIT   LES REGARDS                
LIEU-DIT   LES SABLES DE BREVANNES    
LIEU-DIT   SOUS LIMEIL                
LIEU-DIT   LE BOIS CERDON             
LIEU-DIT   LE BOIS DE LA GRANGE       
AUTOROUTE  A 87                       
           ZAC LEON BERNARD           
ALLEE      DES ACACIAS                
RUE        ADOLPHE MARTIN             
ALLEE      AIME CESAIRE               
RUE        ALBERT JACQUARD            
RUE        ALBERT GARRY               
ALLEE      ALBERTINE SARRAZIN         
RUE        ALBERT ROUSSEL             
RUE        ALFRED DE MUSSET           
ALLEE      ALFRED SISLEY              
RUE        ALFRED DE VIGNY            
RUE        ALPHONSE DAUDET            
AVENUE     ALLARY                     
AVENUE     DES ALLIGRAIS              
ALLEE      D'ALEMBERT                 
AVENUE     D ALSACE LORRAINE          
RUE        ANTOINE DE SAINT EXUPERY   
RUE        ANDRE BAUDEZ               
RUE        D AQUITAINE                
RUE        AUGUSTE BRUN               
ALLEE      AUGUSTE RENOIR             
PLACE      ARTHUR RIMBAUD             
RUE        D AUVERGNE                 
ROUTE      DE LA BALLASTIERE          
AVENUE     BARRAUD                    
CHEMIN     DU BAS GAGNY               
RUE        DE BEARN                   
RUE        DE BELLEVUE                
ALLEE      BLAISE CENDRARS            
ALLEE      DES BENGALIS               
RUE        BERTHE MORISOT             
CHEMIN     DE BLIGNY                  
ALLEE      DES BOUVREUILS             
RUE        DE BOURGOGNE               
RUE        DE BRETAGNE                
ALLEE      DES CAILLES                
AVENUE     DE CESSAC                  
CHEMIN     DES BOEUFS                 
CHEMIN     DE BOISSY A LA GRANGE      
CAR        DES ANC COMBATTANT ALGERIE 
ALLEE      DU CEDRE                   
RUE        DES CHALETS                
RUE        CHARLES BAUDELAIRE         
PLACE      CHARLES DE GAULLE          
ALLEE      DES CHARMES                
RUE        DE CHAMPAGNE               
ALLEE      DES CHARDONNERETS          
ALLEE      DES CIGOGNES               
CHEMIN     DU CIMETIERE               
ALLEE      CLAUDE MONET               
AVENUE     CHARLES EMMANUEL           
RUE        DU CLOS                    
PLACE      DE LA CHENAIE              
PLACE      CHATEAUBRIAND              
IMPASSE    DU VIEUX CHENE             
           CENTRE COMMERCIAL ORCHIDEE 
RUE        CLAUDE BERNARD             
ALLEE      DU CLOS                    
RUE        DU COTEAU                  
RUE        CONDORCET                  
RUE        DANIELLE MITTERRAND        
ALLEE      DAUMIER                    
AVENUE     DELAPORTE                  
RUE        DENIS PAPIN                
CD         94                         
CD         30                         
AVENUE     DESCARTES                  
AVENUE     DES DEUX CLOCHERS          
RUE        DES DEUX COMMUNES          
ALLEE      DIDEROT                    
AVENUE     DE LA DIV LECLERC          
RUE        DU DOC CALMETTE            
ALLEE      EDGARD DEGAS               
RUE        EDOUARD VAILLANT           
PLACE      DE L EGLISE                
RUELLE     DE L EGLISE                
PLACE      ELIE                       
RUE        EMILE COMBES               
RUE        EMILE ZOLA                 
ALLEE      DES ENFANTS HEUREUX        
PLACE      EUGENE COLLEAU             
ALLEE      DES ERABLES                
RUE        EUGENE VARLIN              
ALLEE      DES FAISANS                
ALLEE      DES FAUVETTES              
ALLEE      DES FLAMANDS               
ALLEE      FEDERICO GARCIA LORCA      
RUE        DE FRANCHE COMTE           
ALLEE      FREDERIC CHOPIN            
AVENUE     GABRIEL PERI               
RUE        GEORGES CLEMENCEAU         
RUE        GEORGE SAND                
PLACE      GEORGE SAND                
RUE        GERARD DE NERVAL           
RUE        GERMAINE TILLION           
CHEMIN     DE LA GARE                 
VOIE       GEORGES POMPIDOU           
ALLEE      GUY BONIFACE               
RUE        GUTENBERG                  
RUE        GEORGES BRASSENS           
CHEMIN     DE GRANVILLE               
ALLEE      GUILLAUME APOLLINAIRE      
PLACE      GUY DE MAUPASSANT          
PLACE      GUY DE MAUPASSANT          
SENTIER    DU HAUT GAGNY              
ALLEE      HECTOR BERLIOZ             
RUE        HONORE DE BALZAC           
AVENUE     DU 8 MAI 1945              
RUE        HENRI BARBUSSE             
RUE        HENRI LEGROS               
RUE        DES HERBAGES DE SEZE       
ALLEE      DES HERONS                 
PLACE      DE LA HETRAIE              
           HOPITAL DE BREVANNES       
CITE       JARDIN GREGORY             
RUE        JANUSZ KORCZAK             
ALLEE      JACQUES PREVERT            
RUE        JARRY GUERIN               
PLACE      JEAN JAURES                
ALLEE      JEAN BAPTISTE CLEMENT      
RUE        JEAN MERMOZ                
RUE        JEAN MONNET                
RUE        JEAN MOULIN                
RUE        JULES VERNE                
RUE        JULIE-VICTOIRE DAUBIE      
RUE        JEAN MARIE PRUGNOT         
CHEMIN     LATERAL SUD DE GAGNY       
RUE        LOUIS SALLE                
RUE        LAVOISIER                  
ALLEE      LEOPOLD SEDAR SENGHOR      
RUE        LAMARTINE                  
ALLEE      DES LORIOTS                
RUE        DES LONGS RIDEAUX          
RUE        LEON SCHWARTZENBERG        
RUE        LOUISE CHENU               
PLACE      LOUIS ARAGON               
ALLEE      LEO FERRE                  
RUE        LOUISE MICHEL              
PLACE      LOUISE DE VILMORIN         
RUE        LOUISE DU PIERRY           
PLACE      MABILAT                    
RUE        MADELEINE BRES             
RUE        MARY CASSATT               
AVENUE     MARIE                      
PLACE      MARIE LE NAOURES           
AVENUE     MARIUS DANTZ               
PLACE      DES MARRONNIERS            
ALLEE      DES MESANGES               
AVENUE     DE MESLY                   
CHEMIN     DE MESLY                   
RUE        MONTGOLFIER                
RUE        MONT GRIFFON               
RUE        DU MOULIN                  
CHEMIN     DU MOULIN                  
RUE        W A MOZART ET J S BACH     
ALLEE      DES NOISETIERS             
ALLEE      DES ORMEAUX                
IMPASSE    DU PARC                    
RUE        OLYMPE DE GOUGES           
RUELLE     DE PARIS                   
RUE        PARMENTIER                 
RUE        PASTEUR                    
RUE        PASTEUR PROLONGEE          
ALLEE      PAUL CEZANNE               
ALLEE      PAUL ELUARD                
ALLEE      PAUL GAUGUIN               
RUE        PAUL LAFARGUE              
RUE        PAUL VALERY                
RUE        DE LA PENTE                
CHEMIN     DE LA PENTE                
ALLEE      DES PERDRIX                
CITE       PIARD                      
RUE        PIARD                      
RUE        DE PICARDIE                
RUE        PIERRE CURIE               
ALLEE      PIERRE REVERDY             
RUE        P ET ANGELE LE HEN         
CR         CHEMIN RURAL 5             
ALLEE      DES PINSONS                
SENTIER    DE LA PLANCHETTE           
ALLEE      DU PIC VERT                
AVENUE     DU PDT WILSON              
RUE        DE PROVENCE                
ALLEE      MAURICE RAVEL              
PLACE      RAYMOND BAULON             
SENTIER    DES REGARDS                
PLACE      RENE MARCK                 
RUE        RICHELIEU                  
PLACE      ROBESPIERRE                
RUE        ROGER SALENGRO             
ROUTE      NATIONALE DIX NEUF         
           N 1 DIT ALL DE SAXE        
CR         N 4                        
CR         N 29                       
AVENUE     DE LA SABLIERE             
PASSAGE    DE LA SABLIERE             
ALLEE      DES SERINS                 
RUE        SAINT JOHN PERSE           
AVENUE     DE SEVIGNE                 
RUE        SIMONE DE BEAUVOIR         
RUE        DU TERTRE                  
CHEMIN     DU TERTRE                  
CHEMIN     DE LA TETIERE              
AVENUE     DES TILLEULS               
PLACE      DES TILLEULS               
RUELLE     TRAVERSIERE                
RUE        DES TULIPIERS              
AVENUE     DE VALENTON                
ALLEE      VAN GOGH                   
AVENUE     DE VERDUN                  
           RES VERDUN LECLERC         
AVENUE     VICTOR HUGO                
RUE        DU VIEUX LOUVRE            
ALLEE      DES VIGNES                 
PLACE      VOLTAIRE                   
ROUTE      DE YERRES                  
           VOIE PROVISOIRE AO 277     
RUE        MARY CASSATT               
           commune :     MAISONS ALFORT                 departement : VAL DE MARNE                  
FORT       DE CHARENTON               
           GENDARMERIE CADIOT         
CITE       MOYNET                     
CITE       SAINT VINCENT DE PAUL      
LIEU-DIT   LES CARRIERES              
LIEU-DIT   CHEM DE FER DE PARIS LYON  
LIEU-DIT   ILE DE CHARENTONNEAU       
LIEU-DIT   SQ DU MOULIN D ALFORT      
LIEU-DIT   METRO ALFORT ECOLE VETERIN 
LIEU-DIT   METRO STADE                
LIEU-DIT   LES JUILLIOTTES            
LIEU-DIT   METRO LES JUILLIOTTES      
PASSERELLE DE CHARENTONNEA            
PONT       DE CHARENTON               
PONT       DE MAISONS ALFORT          
           LA MARNE                   
AUTOROUTE  A 86                       
PONT       AMEDEE CHENAL              
GARE       SNCF                       
VILLA      DE L ABRI                  
RUE        D AIX                      
RUE        ALBERT CAMUS               
RUE        ALEXANDRE                  
CITE       D ALFORT                   
RUE        DES ALOUETTES              
ALLEE      DES AMANDIERS              
ALLEE      AMARYLIS                   
RUE        AMEDEE CHENAL              
RUE        DE L AMIRAL COURBET        
ALLEE      DE L AMOURETTE             
ALLEE      DES ARBRES                 
RUE        ARTHUR DALIDET             
RUE        ASPI MANCEAU LAFITTE       
RUE        AUGUSTE SIMON              
RUE        DE L AVENIR                
RUE        D AVIGNON                  
RUE        BAZEILLES                  
ALLEE      DES BEGONIAS               
RUE        DE BELFORT                 
RUE        DE LA BELLE IMAGE          
SQUARE     BERLIOZ                    
RUE        DE BERNE                   
RUE        BLANCHET                   
RUE        DE BORDEAUX                
ALLEE      DES BOULEAUX               
RUE        BOULEY                     
PASSAGE    BOULMIER                   
RUE        BOURGELAT                  
IMPASSE    DES BOUVETS                
RUE        DE BREST                   
RUE        DES BRETONS                
IMPASSE    DE LA BRIQUETERIE          
RUE        DE BRUXELLES               
CRS        DES BRUYERES               
ALLEE      BUFFON                     
RUE        DU BUISSON JOYEUX          
AVENUE     BUSTEAU                    
ALLEE      DES CAMELIAS               
ALLEE      DES CAVALIERS              
ALLEE      DES CHENES                 
RUE        DU CAP ROLAND DEPLANQUE    
RUE        CARNOT                     
ALLEE      CECILE                     
RUE        CECILE                     
           CENTRE CIAL JUILLIOTTES    
RUE        CHABERT                    
RUE        DE CHAMPAGNE               
RUE        DES CHAMPS CORBILLY        
RUE        CHARLES MARTIGNY           
RUE        CHARLES PEGUY              
           DNE DE CHATEAU GAILLARD    
RUE        CHEVREUL                   
RUE        CINO DEL DUCA              
RUE        DU CLOS DES NOYERS         
ALLEE      DE COCAGNE                 
RUE        DE COLMAR                  
RUE        DE LA CONCORDE             
RUE        CONDORCET                  
RUE        DE LA CONVENTION           
CRS        DES JUILLIOTTES            
CITE       DANIELE CASANOVA           
RUE        DANIELE CASANOVA           
RUE        DAVY                       
IMPASSE    DEHAIS                     
RUE        DELALAIN                   
RUE        DELAPORTE                  
RUE        DES DEUX MOULINS           
RUE        DESROYES DU ROURE          
RUE        DU 18 JUIN 1940            
QUAI       DU DOCTEUR MASS            
PLACE      DODIN                      
SQUARE     DUFOURMANTELLE             
IMPASSE    DENIS DULAC                
           RES DENIS DULAC            
           RES DULAC PLAISANCE        
RUE        EDMOND NOCARD              
RUE        EDOUARD HERRIOT            
RUE        ERNEST RENAN               
RUE        ETIENNE DOLET              
RUE        EUGENE RENAULT             
RUE        EUGENE SUE                 
RUE        DE LA FEDERATION           
QUAI       FERNAND SAGUET             
RUE        FERNET                     
CITE       FERNET                     
IMPASSE    FIOCRE                     
ALLEE      DES FLEURS                 
IMPASSE    DE FLEURUS                 
AVENUE     FOCH                       
SQUARE     GABRIEL FAURE              
RUE        GABRIEL PERI               
PLACE      GALLIENI                   
BOULEVARD  GALLIENI                   
AVENUE     GAMBETTA                   
PLACE      DE LA GARE                 
AVENUE     DU GENERAL DE GAULLE       
AVENUE     DU GENERAL LECLERC         
RUE        DU GEN KOENIG              
RUE        GEORGENTHUM                
AVENUE     GEORGES CLEMENCEAU         
RUE        GEORGES GAUME              
SQUARE     GEORGES GUYON              
RUE        GEORGES MEDERIC            
RUE        GIRARD                     
IMPASSE    GIRARD                     
RUE        DE GRAVELLE                
RUE        DE GRENOBLE                
RUE        GRIMOULT                   
RUE        DU GUE AUX AUROCHS         
RUE        GUY MOQUET                 
ALLEE      DU HAMEAU D ALFORT         
SQUARE     HENRI DUNANT               
RUE        HENRI REGNAULT             
RUE        HOCHE                      
VILLA      HOUDART                    
RUE        HUIT MAI 1945              
IMPASSE    DES ILES                   
PASSAGE    IMBERDIS                   
RUE        JEAN ESQUIROL              
RUE        JEAN JAURES                
PLACE      JEAN MOULIN                
RUE        JEAN PIERRE TIMBAUD        
RUE        DE JEMMAPES                
RUE        JENNER                     
AVENUE     JOFFRE                     
RUE        DE JOINVILLE               
RUE        JOSEPH FLEUTIAUX           
RUE        JOUET                      
RUE        KLEBER                     
RUE        LA FONTAINE                
AVENUE     LEON BLUM                  
AVENUE     DE LA LIBERTE              
RUE        DE LIEGE                   
RUE        LT VAISSEAU ESTIENNE ORVES 
RUE        DE LILLE                   
RUE        DE LONDRES                 
RUE        DE LORRAINE                
RUE        LOUIS BRAILLE              
SQUARE     LOUIS BRAILLE              
RUE        LOUIS HEURTEL              
RUE        LOUIS PERGAUD              
RUE        LOUISE LESIEUR             
RUE        DE LOUVAIN                 
RUE        DE LA LUNE                 
RUE        DE LYON                    
RUE        MAIRE                      
CITE       DE LA MAIRIE               
RUE        MARCEAU                    
RUE        DU MARECHAL JUIN           
RUE        MAL DE LATTRE DE T         
RUE        MARC SANGNIER              
ALLEE      MARIE CHARLOTTE            
RUE        DU MARECHAL MAUNOURY       
QUAI       MARECHAL JOFFRE            
RUE        DE LA MARNE                
RUE        MARS                       
RUE        DE MARSEILLE               
RUE        MASSENA                    
RUE        MAURICE LISSAC             
RUE        DE MESLY                   
RUE        DE METZ                    
RUE        MERCURE                    
RUE        MICHELET                   
RUE        DE MILAN                   
RUE        MOLIERE                    
RUE        DE MULHOUSE                
RUE        DE NANCY                   
RUE        DE NAVILLE                 
RUE        NEPTUNE                    
RUE        NORDLING                   
RUE        DE NORMANDIE               
RUE        DU 11 NOVEMBRE 1918        
IMPASSE    PARC                       
IMPASSE    PARMENTIER                 
RUE        PARMENTIER                 
RUE        PASTEUR                    
RUE        PAUL BERT                  
RUE        PAUL SAUNIERE              
RUE        PAUL VAILLANT COUTURIER    
RUE        PELET DE LA LOZERE         
RUE        DE PERPIGNAN               
RUE        PIERRE  ET MARIE CURIE     
RUE        PIERRE PHILIPPOT           
RUE        PIERRE SEMARD              
ALLEE      DES PLATANES               
RUE        PLATEAU                    
ALLEE      DES PRES DES PAILLES       
AVENUE     DU PROFESSEUR CADIOT       
RUE        DU PROF RAMON              
IMPASSE    DE LA PROCESSION           
RUE        DU 14 JUILLET              
RUE        RASPAIL                    
RUE        DE REIMS                   
RUE        RENARD                     
PLACE      RENE COTY                  
AVENUE     DE LA REPUBLIQUE           
CAR        DE LA RESISTANCE           
IMPASSE    RICOIS                     
RUE        ROBERT FERRER              
RUE        RODIER                     
RUE        ROGER FRANCOIS             
RUE        DE ROME                    
RUE        DE ROUEN                   
RUE        ROUGET DE L ISLE           
IMPASSE    SAILLENFAIT                
PLACE      SALANSON                   
RUE        DES SAPINS                 
RUE        DU SOLEIL                  
RUE        SOULT                      
RUE        SPRINGER                   
RUE        DE STRASBOURG              
RUE        SUCHET                     
RUE        SAINT GEORGES              
IMPASSE    SAINT MAUR                 
IMPASSE    SAINT MICHEL               
RUE        THOMAS EDISON              
RUE        DES TILLEULS               
RUE        DE TOURS                   
RUE        DE TURIN                   
RUE        ULYSSE BENNE               
RUE        D URANUS                   
RUE        DE VALENTON                
RUE        DE VALMY                   
RUE        VENUS                      
AVENUE     DE VERDUN                  
RUE        VICTOR                     
RUE        VICTOR BASCH               
RUE        VICTOR HUGO                
RUE        DE VINCENNES               
IMPASSE    VINCENNES                  
RUE        VOLTAIRE                   
           ZONE DES PETITES HAIES     
           commune :     MANDRES LES ROSES              departement : VAL DE MARNE                  
CENTRE     HORTICOLE DE ROSEBRIE      
LIEU-DIT   LE BOIS SAINT LEU          
LIEU-DIT   LE BOISSEAU                
LIEU-DIT   LE CARREAU OU LE CHEMIN MI 
LIEU-DIT   CHARTREUSE DES VINOTS      
LIEU-DIT   CHEM DE CHARTON            
LIEU-DIT   CHEMIN DES CAILLOUX        
LIEU-DIT   LA CROIX ROUGE             
LIEU-DIT   DERRIERE LA GARENNE        
LIEU-DIT   L ESPERANCE                
LIEU-DIT   FAUBOURG DES CHARTREUX     
LIEU-DIT   LES FONTAINES              
LIEU-DIT   LA FOSSE AU COCHON         
LIEU-DIT   LA FRAIZIERE               
LIEU-DIT   LES GALETTES               
LIEU-DIT   LONGUE RAYE                
LIEU-DIT   LOT DU PARC DE LA FERME    
LIEU-DIT   LOTISSEMENT DE LA CROIX VE 
LIEU-DIT   LOTISSEMENT DE LA GARE     
LIEU-DIT   LE MARAIS                  
LIEU-DIT   LE MARCHAIS TROUBLE        
LIEU-DIT   LES MOQUE PANIERS          
LIEU-DIT   LA NOIRA                   
LIEU-DIT   PARADIS EN FER             
LIEU-DIT   LE PAVILLON                
LIEU-DIT   REMISE DE LA FOSSE PARROT  
LIEU-DIT   REMISE DU POIRIER OUDET    
LIEU-DIT   LA RUELLE DES CHAMPS       
LIEU-DIT   SAUSSAYE NOTRE DAME        
LIEU-DIT   LES VALLEES                
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LES VINOTS                 
LIEU-DIT   DOMAINE DE ROSEVAL         
LIEU-DIT   DOMAINE DE ROSEBRIE        
LIEU-DIT   NOTRE DAME DE LA SAUSSAIE  
AUTOROUTE  A 5                        
ALLEE      PROVISOIREMENT DENOMMEE A  
COUR       L'ANCIENNE POSTE - COUR 7B 
RUE        ANTOINE DE ST EXUPERY      
RUE        ANDRE DELEAU               
RUELLE     AUX ANES                   
PLACE      ARISTIDE BRIAND            
RUE        AUGUSTE DUPIN              
ALLEE      PROVISOIREMENT DENOMMEE B  
RUE        DE BOUSSY                  
RUE        DE BRIE                    
COUR       DE CHANTEPIE - COUR 10     
COUR       DES ROSIERISTES - COUR 12  
COUR       SAINT - VINCENT - COUR 14  
COUR       DE LA PEPINIERE - COUR 15  
RUE        DE BRIE COUR 16            
COUR       L'IMPASSE RICHER - COUR 17 
COUR       DU PRESSOIR - COUR 19      
RUE        DE BRIE COUR 23            
RUE        DE BRIE COUR 25            
RUE        DE BRUNOY                  
CHEMIN     DES CAILLOUX               
ALLEE      DU CARREAU MINOIS          
RUE        CAZEAUX                    
ALLEE      DES CEDRES                 
ALLEE      DES CERISIERS              
RUE        DES CHAMPS                 
RUE        DU CHANT DE L ALOUETTE     
ALLEE      CHARLES BOULLET            
COUR       DU CHARRON - COUR 21       
RUELLE     DES CHAMPS                 
RUE        CLAUDE DU VAL              
PLACE      CLAUDE MACEL               
RUE        FAUBOURG DES CHARTREUX     
ALLEE      DU CHATEAU D EAU           
CRS        NO 5                       
RUE        DE LA CROIX ROUGE          
ALLEE      DES CYTISES                
RUE        MME DE LA GUETTE           
RUE        DU DOCTEUR SCHWEITZER      
ALLEE      DES EGLANTINES             
SENTIER    DE L ESPERANCE             
ALLEE      EUROPE                     
CHEMIN     DES FONTAINES              
CHEMIN     DES FONTAINES ST THIBAULT  
SENTIER    DU FORT DES VINOTS         
RUE        DE LA FOSSE PARROT         
RUE        FRANCOIS COPPEE            
ALLEE      FRANCOIS DE SENESME        
CHEMIN     DES GALETTES               
RUE        DE LA GARE                 
PLACE      DU GEN DE GAULLE           
COUR       DU MARGUILLIER - COUR 7    
COUR       DE LA CAVALERIE - COUR 2   
COUR       DE LA FORGE - COUR 3       
COUR       LA GRANDE CROISEE - COUR 4 
RUE        DU GEN LECLERC COUR 5      
COUR       GUILLORY - COUR 6          
RUE        DU GEN LECLERC COUR 7      
RUE        DU GEN LECLERC COUR 9      
RUE        DU GENERAL LECLERC         
COUR       DE LA ROUERE - COUR 11     
COUR       DE L'ORMOIS - COUR 13      
RUE        GEORGES POMPIDOU           
COUR       GRAND'COUR - COUR 9        
ALLEE      DES GRES                   
ALLEE      GUSTAVE DURASSIE           
RUELLE     A GUITARD                  
AVENUE     HENRI DUNANT               
RUE        HENRIETTE FOUGASSE         
RUE        DU HUIT MAI 1945           
CR         JEAN PELLE                 
ALLEE      LADY SYLVIA                
RUE        LUCRECE DE MONTONVILLIERS  
RUE        DES LILAS                  
RUE        LINO VENTURA               
RUE        DE LA MARE VERTE           
CHEMIN     DE LA MESSE                
ALLEE      DE MEURDRAC                
CHEMIN     DES MINOIS                 
RUE        MAURICE FICHE              
PLACE      DE LA MOTTE                
ALLEE      DU MUR D ORLEANS           
COUR       MARCEL LECOQ - COUR 9 BIS  
CHEMIN     DE LA NOIRA                
ALLEE      DES ORMES                  
COUR       LA PAILLARDERIE - COUR 16  
ALLEE      DU PARADIS                 
RUE        PASTEUR                    
ALLEE      DU PAVILLON                
RUE        PAUL DOUMER COUR 1         
RUE        PAUL DOUMER                
ALLEE      DU PEINTRE                 
RUE        DES PERDRIX                
ALLEE      PIERRE DE MANDRES          
RUE        DU POIRIER OUDET           
ALLEE      DES POLYANTAS              
RUE        DES PRINCES DE WAGRAM      
RUE        RENE THIBAULT              
ALLEE      ROBERT DE DREUX            
PLACE      DES TOURS GRISES           
RUE        DE ROCHOPT                 
RUE        DES ROSES                  
GR         GRANDE RUE                 
ALLEE      DES SAULSSAYES             
ALLEE      ST MARTIN                  
CHEMIN     DE LA SAUSSAIE             
SENTIER    DES SOURCES DES VINOTS     
RUE        DE SERVON                  
ALLEE      DES SILEX                  
ALLEE      DES TILLEULS               
ALLEE      DES TREMIERES              
COUR       DES TISSERANDS - COUR 5    
COUR       DES THIBAULT - COUR 1      
RUE        DES VALLEES                
PLACE      VERDI                      
COUR       DU VERRIER - COUR 13 BIS   
COUR       DU VIGNERON - COUR 23      
RUE        DE VERDUN                  
COUR       DES GRES - COUR 8          
ALLEE      DU VERGER                  
CHEMIN     VERT                       
RUE        DU CHEMIN DES VINOTS       
COUR       DES VOITURIERS - COUR 25   
CHEMIN     D'YERRES A BRIE CTE ROBERT 
CHEMIN     D YERRES A BRIE            
RUE        DE L YERRES                
           commune :     MAROLLES EN BRIE               departement : VAL DE MARNE                  
LIEU-DIT   LES BARRIERES              
LIEU-DIT   BOIS DE SANTENY            
LIEU-DIT   LES BRUYERES               
LIEU-DIT   LA BUTTE A DOUBLET         
LIEU-DIT   LE FAUBOURG                
LIEU-DIT   LA FONTAINE FROIDE         
LIEU-DIT   LES FOURNEAUX              
LIEU-DIT   LA GIREE                   
LIEU-DIT   LES GLAISES                
LIEU-DIT   LES GRAVIERS               
LIEU-DIT   LE GRIPPET                 
LIEU-DIT   LA JUSTICE                 
LIEU-DIT   LES MURS DU PARC           
LIEU-DIT   PARC DE GROSBOIS           
LIEU-DIT   LA PIECE DU CHEMIN DE FER  
LIEU-DIT   LES PRES DU REVEILLON      
LIEU-DIT   SOUS L EGLISE              
LIEU-DIT   LES USUELLES DE MAROLLES   
LIEU-DIT   LE VAUGIRARD               
LIEU-DIT   LE VILLAGE                 
